,0
344,8.0
345,5.0
346,4.0
347,6.0
348,8.0
349,9.0
350,9.0
351,1.0
352,0.0
353,2.0
354,2.0
355,7.0
356,3.0
357,2.0
358,8.0
359,0.0
360,9.0
361,5.0
362,8.0
363,1.0
364,9.0
365,4.0
366,1.0
367,3.0
368,8.0
369,1.0
370,4.0
371,7.0
372,9.0
373,4.0
374,2.0
375,7.0
376,0.0
377,7.0
378,0.0
379,6.0
380,6.0
381,9.0
382,0.0
383,9.0
384,2.0
385,8.0
386,7.0
387,2.0
388,2.0
389,5.0
390,1.0
391,2.0
392,6.0
393,2.0
394,9.0
395,6.0
396,2.0
397,3.0
398,0.0
399,3.0
400,9.0
401,8.0
402,7.0
403,8.0
404,8.0
405,4.0
406,0.0
407,1.0
408,8.0
409,2.0
410,7.0
411,9.0
412,3.0
413,6.0
414,1.0
415,9.0
416,0.0
417,7.0
418,3.0
419,7.0
420,4.0
421,5.0
422,0.0
423,0.0
424,2.0
425,9.0
426,3.0
427,4.0
428,0.0
429,6.0
430,2.0
431,5.0
432,3.0
433,7.0
434,3.0
435,7.0
436,2.0
437,5.0
438,3.0
439,1.0
440,1.0
441,4.0
442,9.0
443,9.0
444,5.0
445,7.0
446,5.0
447,0.0
448,2.0
449,2.0
450,2.0
451,9.0
452,7.0
453,3.0
454,9.0
455,4.0
456,3.0
457,5.0
458,4.0
459,6.0
460,5.0
461,6.0
462,1.0
463,4.0
464,3.0
465,4.0
466,4.0
467,3.0
468,7.0
469,8.0
470,3.0
471,7.0
472,8.0
473,0.0
474,5.0
475,7.0
476,6.0
477,0.0
478,5.0
479,4.0
480,8.0
481,6.0
482,8.0
483,5.0
484,5.0
485,9.0
486,9.0
487,9.0
488,5.0
489,0.0
490,1.0
491,0.0
492,8.0
493,1.0
494,1.0
495,8.0
496,0.0
497,2.0
498,2.0
499,0.0
500,4.0
501,6.0
502,5.0
503,4.0
504,9.0
505,4.0
506,7.0
507,9.0
508,9.0
509,4.0
510,5.0
511,6.0
512,6.0
513,1.0
514,5.0
515,3.0
516,8.0
517,9.0
518,5.0
519,8.0
520,5.0
521,7.0
522,0.0
523,7.0
524,0.0
525,5.0
526,0.0
527,0.0
528,4.0
529,6.0
530,9.0
531,0.0
532,9.0
533,5.0
534,6.0
535,6.0
536,6.0
537,2.0
538,9.0
539,0.0
540,1.0
541,7.0
542,6.0
543,7.0
544,5.0
545,9.0
546,1.0
547,6.0
548,2.0
549,5.0
550,5.0
551,5.0
552,8.0
553,5.0
554,9.0
555,4.0
556,6.0
557,4.0
558,3.0
559,2.0
560,0.0
561,7.0
562,6.0
563,2.0
564,2.0
565,3.0
566,9.0
567,7.0
568,9.0
569,2.0
570,6.0
571,7.0
572,1.0
573,3.0
574,6.0
575,6.0
576,8.0
577,9.0
578,7.0
579,5.0
580,4.0
581,0.0
582,8.0
583,4.0
584,0.0
585,9.0
586,3.0
587,4.0
588,8.0
589,9.0
590,6.0
591,9.0
592,2.0
593,6.0
594,1.0
595,4.0
596,7.0
597,3.0
598,5.0
599,3.0
600,8.0
601,5.0
602,0.0
603,2.0
604,1.0
605,6.0
606,4.0
607,3.0
608,3.0
609,9.0
610,6.0
611,9.0
612,8.0
613,8.0
614,5.0
615,8.0
616,6.0
617,6.0
618,2.0
619,1.0
620,7.0
621,7.0
622,1.0
623,2.0
624,7.0
625,9.0
626,9.0
627,4.0
628,4.0
629,1.0
630,2.0
631,5.0
632,6.0
633,8.0
634,7.0
635,6.0
636,8.0
637,3.0
638,0.0
639,5.0
640,5.0
641,3.0
642,0.0
643,7.0
644,9.0
645,1.0
646,3.0
647,4.0
648,4.0
649,5.0
650,3.0
651,9.0
652,5.0
653,6.0
654,9.0
655,2.0
656,1.0
657,1.0
658,4.0
659,1.0
660,9.0
661,4.0
662,7.0
663,6.0
664,3.0
665,8.0
666,9.0
667,0.0
668,1.0
669,3.0
670,6.0
671,3.0
672,6.0
673,3.0
674,2.0
675,0.0
676,3.0
677,1.0
678,0.0
679,5.0
680,9.0
681,6.0
682,4.0
683,8.0
684,9.0
685,6.0
686,9.0
687,6.0
688,3.0
689,0.0
690,3.0
691,2.0
692,2.0
693,7.0
694,8.0
695,3.0
696,8.0
697,2.0
698,7.0
699,5.0
700,7.0
701,2.0
702,4.0
703,8.0
704,7.0
705,4.0
706,2.0
707,9.0
708,8.0
709,8.0
710,6.0
711,8.0
712,8.0
713,7.0
714,4.0
715,3.0
716,3.0
717,8.0
718,4.0
719,9.0
720,4.0
721,8.0
722,8.0
723,1.0
724,8.0
725,2.0
726,1.0
727,3.0
728,6.0
729,5.0
730,4.0
731,2.0
732,7.0
733,9.0
734,9.0
735,4.0
736,1.0
737,4.0
738,1.0
739,3.0
740,2.0
741,7.0
742,0.0
743,7.0
744,9.0
745,7.0
746,6.0
747,6.0
748,2.0
749,5.0
750,9.0
751,2.0
752,9.0
753,1.0
754,2.0
755,2.0
756,6.0
757,8.0
758,2.0
759,1.0
760,3.0
761,6.0
762,6.0
763,0.0
764,1.0
765,2.0
766,7.0
767,0.0
768,5.0
769,4.0
770,6.0
771,1.0
772,6.0
773,4.0
774,0.0
775,2.0
776,2.0
777,6.0
778,0.0
779,5.0
780,9.0
781,1.0
782,7.0
783,6.0
784,7.0
785,0.0
786,3.0
787,9.0
788,6.0
789,8.0
790,3.0
791,0.0
792,3.0
793,4.0
794,7.0
795,7.0
796,1.0
797,4.0
798,7.0
799,2.0
800,7.0
801,1.0
802,4.0
803,7.0
804,4.0
805,4.0
806,8.0
807,4.0
808,7.0
809,7.0
810,5.0
811,3.0
812,7.0
813,2.0
814,0.0
815,8.0
816,9.0
817,5.0
818,8.0
819,3.0
820,6.0
821,2.0
822,0.0
823,8.0
824,7.0
825,3.0
826,7.0
827,6.0
828,5.0
829,3.0
830,1.0
831,3.0
832,2.0
833,2.0
834,5.0
835,4.0
836,1.0
837,2.0
838,9.0
839,2.0
840,7.0
841,0.0
842,7.0
843,2.0
844,1.0
845,3.0
846,2.0
847,0.0
848,2.0
849,4.0
850,7.0
851,9.0
852,8.0
853,9.0
854,0.0
855,7.0
856,7.0
857,0.0
858,7.0
859,8.0
860,4.0
861,6.0
862,3.0
863,3.0
864,0.0
865,1.0
866,3.0
867,7.0
868,0.0
869,1.0
870,3.0
871,1.0
872,4.0
873,2.0
874,3.0
875,8.0
876,4.0
877,2.0
878,3.0
879,7.0
880,8.0
881,4.0
882,3.0
883,0.0
884,9.0
885,0.0
886,0.0
887,1.0
888,0.0
889,4.0
890,4.0
891,6.0
892,7.0
893,6.0
894,1.0
895,1.0
896,3.0
897,7.0
898,3.0
899,5.0
900,2.0
901,6.0
902,6.0
903,5.0
904,8.0
905,7.0
906,1.0
907,6.0
908,8.0
909,8.0
910,5.0
911,3.0
912,0.0
913,4.0
914,0.0
915,1.0
916,3.0
917,8.0
918,8.0
919,0.0
920,6.0
921,9.0
922,9.0
923,9.0
924,5.0
925,5.0
926,8.0
927,6.0
928,0.0
929,0.0
930,4.0
931,2.0
932,3.0
933,2.0
934,7.0
935,2.0
936,2.0
937,5.0
938,9.0
939,8.0
940,9.0
941,1.0
942,7.0
943,4.0
944,0.0
945,3.0
946,0.0
947,1.0
948,3.0
949,8.0
950,3.0
951,9.0
952,6.0
953,1.0
954,4.0
955,7.0
956,0.0
957,3.0
958,7.0
959,8.0
960,9.0
961,1.0
962,1.0
963,6.0
964,6.0
965,6.0
966,6.0
967,9.0
968,1.0
969,9.0
970,9.0
971,4.0
972,2.0
973,1.0
974,7.0
975,0.0
976,6.0
977,8.0
978,1.0
979,9.0
980,2.0
981,9.0
982,0.0
983,4.0
984,7.0
985,8.0
986,3.0
987,1.0
988,2.0
989,0.0
990,1.0
991,5.0
992,8.0
993,4.0
994,6.0
995,3.0
996,8.0
997,1.0
998,3.0
999,8.0
1000,5.0
1001,0.0
1002,8.0
1003,4.0
1004,8.0
1005,1.0
1006,1.0
1007,8.0
1008,9.0
1009,6.0
1010,0.0
1011,8.0
1012,6.0
1013,1.0
1014,3.0
1015,4.0
1016,1.0
1017,6.0
1018,0.0
1019,5.0
1020,1.0
1021,1.0
1022,0.0
1023,0.0
1024,3.0
1025,5.0
1026,0.0
1027,0.0
1028,6.0
1029,6.0
1030,3.0
1031,3.0
1032,6.0
1033,3.0
1034,6.0
1035,6.0
1036,0.0
1037,7.0
1038,2.0
1039,2.0
1040,7.0
1041,5.0
1042,5.0
1043,2.0
1044,8.0
1045,5.0
1046,2.0
1047,1.0
1048,1.0
1049,4.0
1050,3.0
1051,2.0
1052,0.0
1053,3.0
1054,1.0
1055,5.0
1056,3.0
1057,7.0
1058,6.0
1059,8.0
1060,9.0
1061,1.0
1062,6.0
1063,4.0
1064,9.0
1065,3.0
1066,9.0
1067,0.0
1068,9.0
1069,6.0
1070,3.0
1071,6.0
1072,0.0
1073,7.0
1074,3.0
1075,8.0
1076,0.0
1077,0.0
1078,0.0
1079,6.0
1080,6.0
1081,6.0
1082,9.0
1083,2.0
1084,5.0
1085,4.0
1086,4.0
1087,6.0
1088,3.0
1089,6.0
1090,0.0
1091,8.0
1092,6.0
1093,0.0
1094,6.0
1095,2.0
1096,7.0
1097,5.0
1098,1.0
1099,2.0
1100,7.0
1101,8.0
1102,8.0
1103,0.0
1104,9.0
1105,4.0
1106,9.0
1107,7.0
1108,2.0
1109,0.0
1110,2.0
1111,8.0
1112,3.0
1113,8.0
1114,9.0
1115,1.0
1116,5.0
1117,5.0
1118,4.0
1119,7.0
1120,5.0
1121,3.0
1122,8.0
1123,3.0
1124,3.0
1125,6.0
1126,2.0
1127,8.0
1128,4.0
1129,3.0
1130,7.0
1131,1.0
1132,2.0
1133,4.0
1134,1.0
1135,6.0
1136,9.0
1137,0.0
1138,5.0
1139,8.0
1140,6.0
1141,1.0
1142,8.0
1143,6.0
1144,1.0
1145,4.0
1146,2.0
1147,6.0
1148,2.0
1149,7.0
1150,2.0
1151,2.0
1152,0.0
1153,8.0
1154,6.0
1155,9.0
1156,1.0
1157,7.0
1158,1.0
1159,8.0
1160,8.0
1161,0.0
1162,7.0
1163,3.0
1164,8.0
1165,0.0
1166,3.0
1167,4.0
1168,3.0
1169,7.0
1170,7.0
1171,9.0
1172,2.0
1173,3.0
1174,1.0
1175,9.0
1176,1.0
1177,9.0
1178,6.0
1179,3.0
1180,3.0
1181,3.0
1182,1.0
1183,0.0
1184,6.0
1185,1.0
1186,4.0
1187,1.0
1188,0.0
1189,0.0
1190,1.0
1191,1.0
1192,6.0
1193,5.0
1194,4.0
1195,6.0
1196,2.0
1197,0.0
1198,7.0
1199,9.0
1200,8.0
1201,7.0
1202,2.0
1203,0.0
1204,6.0
1205,8.0
1206,1.0
1207,4.0
1208,3.0
1209,7.0
1210,0.0
1211,6.0
1212,1.0
1213,8.0
1214,5.0
1215,7.0
1216,8.0
1217,4.0
1218,8.0
1219,3.0
1220,9.0
1221,9.0
1222,9.0
1223,8.0
1224,7.0
1225,6.0
1226,6.0
1227,3.0
1228,5.0
1229,1.0
1230,5.0
1231,9.0
1232,1.0
1233,4.0
1234,1.0
1235,5.0
1236,7.0
1237,0.0
1238,1.0
1239,5.0
1240,2.0
1241,0.0
1242,8.0
1243,8.0
1244,5.0
1245,6.0
1246,7.0
1247,3.0
1248,2.0
1249,4.0
1250,7.0
1251,2.0
1252,5.0
1253,8.0
1254,2.0
1255,4.0
1256,9.0
1257,2.0
1258,1.0
1259,8.0
1260,1.0
1261,9.0
1262,8.0
1263,8.0
1264,8.0
1265,9.0
1266,0.0
1267,4.0
1268,3.0
1269,3.0
1270,1.0
1271,8.0
1272,4.0
1273,6.0
1274,3.0
1275,3.0
1276,5.0
1277,2.0
1278,2.0
1279,8.0
1280,3.0
1281,8.0
1282,9.0
1283,5.0
1284,8.0
1285,9.0
1286,8.0
1287,9.0
1288,1.0
1289,6.0
1290,5.0
1291,9.0
1292,4.0
1293,4.0
1294,8.0
1295,0.0
1296,7.0
1297,2.0
1298,9.0
1299,7.0
1300,4.0
1301,1.0
1302,6.0
1303,4.0
1304,4.0
1305,9.0
1306,1.0
1307,2.0
1308,5.0
1309,6.0
1310,0.0
1311,8.0
1312,6.0
1313,1.0
1314,9.0
1315,4.0
1316,5.0
1317,9.0
1318,5.0
1319,0.0
1320,7.0
1321,2.0
1322,0.0
1323,0.0
1324,4.0
1325,2.0
1326,6.0
1327,6.0
1328,5.0
1329,5.0
1330,2.0
1331,8.0
1332,1.0
1333,7.0
1334,3.0
1335,1.0
1336,4.0
1337,5.0
1338,6.0
1339,5.0
1340,1.0
1341,4.0
1342,7.0
1343,0.0
1344,9.0
1345,4.0
1346,3.0
1347,8.0
1348,2.0
1349,8.0
1350,4.0
1351,7.0
1352,2.0
1353,3.0
1354,1.0
1355,5.0
1356,2.0
1357,9.0
1358,8.0
1359,9.0
1360,7.0
1361,9.0
1362,5.0
1363,1.0
1364,4.0
1365,0.0
1366,8.0
1367,2.0
1368,3.0
1369,8.0
1370,9.0
1371,1.0
1372,1.0
1373,3.0
1374,2.0
1375,4.0
1376,9.0
1377,3.0
1378,1.0
1379,7.0
1380,4.0
1381,6.0
1382,2.0
1383,8.0
1384,9.0
1385,5.0
1386,3.0
1387,9.0
1388,5.0
1389,5.0
1390,6.0
1391,7.0
1392,2.0
1393,4.0
1394,6.0
1395,3.0
1396,1.0
1397,0.0
1398,7.0
1399,2.0
1400,5.0
1401,4.0
1402,7.0
1403,6.0
1404,1.0
1405,1.0
1406,9.0
1407,8.0
1408,1.0
1409,0.0
1410,1.0
1411,3.0
1412,1.0
1413,1.0
1414,1.0
1415,7.0
1416,3.0
1417,9.0
1418,6.0
1419,8.0
1420,4.0
1421,6.0
1422,8.0
1423,4.0
1424,9.0
1425,4.0
1426,7.0
1427,9.0
1428,7.0
1429,6.0
1430,8.0
1431,4.0
1432,9.0
1433,7.0
1434,0.0
1435,1.0
1436,6.0
1437,1.0
1438,5.0
1439,9.0
1440,0.0
1441,4.0
1442,3.0
1443,4.0
1444,1.0
1445,3.0
1446,0.0
1447,8.0
1448,4.0
1449,6.0
1450,2.0
1451,2.0
1452,6.0
1453,5.0
1454,3.0
1455,6.0
1456,2.0
1457,1.0
1458,1.0
1459,8.0
1460,6.0
1461,0.0
1462,4.0
1463,0.0
1464,1.0
1465,9.0
1466,7.0
1467,1.0
1468,3.0
1469,7.0
1470,7.0
1471,8.0
1472,7.0
1473,7.0
1474,3.0
1475,9.0
1476,7.0
1477,7.0
1478,7.0
1479,2.0
1480,1.0
1481,2.0
1482,8.0
1483,6.0
1484,4.0
1485,0.0
1486,7.0
1487,9.0
1488,8.0
1489,6.0
1490,8.0
1491,4.0
1492,9.0
1493,1.0
1494,7.0
1495,2.0
1496,2.0
1497,8.0
1498,5.0
1499,8.0
1500,1.0
1501,2.0
1502,2.0
1503,4.0
1504,1.0
1505,2.0
1506,5.0
1507,2.0
1508,8.0
1509,1.0
1510,8.0
1511,1.0
1512,8.0
1513,6.0
1514,0.0
1515,2.0
1516,4.0
1517,1.0
1518,3.0
1519,6.0
1520,7.0
1521,7.0
1522,4.0
1523,4.0
1524,3.0
1525,3.0
1526,4.0
1527,5.0
1528,2.0
1529,4.0
1530,3.0
1531,7.0
1532,8.0
1533,4.0
1534,4.0
1535,4.0
1536,5.0
1537,4.0
1538,3.0
1539,2.0
1540,8.0
1541,4.0
1542,5.0
1543,5.0
1544,4.0
1545,1.0
1546,4.0
1547,2.0
1548,5.0
1549,1.0
1550,6.0
1551,4.0
1552,3.0
1553,4.0
1554,4.0
1555,0.0
1556,8.0
1557,8.0
1558,4.0
1559,5.0
1560,7.0
1561,5.0
1562,6.0
1563,9.0
1564,1.0
1565,6.0
1566,7.0
1567,2.0
1568,0.0
1569,1.0
1570,4.0
1571,5.0
1572,6.0
1573,0.0
1574,0.0
1575,2.0
1576,7.0
1577,5.0
1578,6.0
1579,0.0
1580,6.0
1581,2.0
1582,9.0
1583,1.0
1584,7.0
1585,7.0
1586,5.0
1587,2.0
1588,5.0
1589,6.0
1590,4.0
1591,1.0
1592,4.0
1593,3.0
1594,3.0
1595,3.0
1596,0.0
1597,3.0
1598,5.0
1599,5.0
1600,8.0
1601,9.0
1602,7.0
1603,3.0
1604,1.0
1605,3.0
1606,3.0
1607,3.0
1608,4.0
1609,4.0
1610,2.0
1611,3.0
1612,3.0
1613,8.0
1614,1.0
1615,7.0
1616,7.0
1617,0.0
1618,7.0
1619,4.0
1620,5.0
1621,1.0
1622,4.0
1623,2.0
1624,4.0
1625,3.0
1626,9.0
1627,9.0
1628,4.0
1629,9.0
1630,9.0
1631,1.0
1632,8.0
1633,1.0
1634,6.0
1635,7.0
1636,5.0
1637,5.0
1638,4.0
1639,9.0
1640,7.0
1641,6.0
1642,5.0
1643,9.0
1644,2.0
1645,4.0
1646,0.0
1647,7.0
1648,8.0
1649,5.0
1650,5.0
1651,0.0
1652,0.0
1653,9.0
1654,9.0
1655,8.0
1656,2.0
1657,5.0
1658,4.0
1659,8.0
1660,3.0
1661,6.0
1662,3.0
1663,6.0
1664,0.0
1665,6.0
1666,6.0
1667,6.0
1668,9.0
1669,6.0
1670,6.0
1671,8.0
1672,6.0
1673,2.0
1674,4.0
1675,5.0
1676,8.0
1677,1.0
1678,2.0
1679,7.0
1680,6.0
1681,5.0
1682,7.0
1683,8.0
1684,1.0
1685,8.0
1686,0.0
1687,8.0
1688,6.0
1689,9.0
1690,2.0
1691,8.0
1692,9.0
1693,4.0
1694,0.0
1695,9.0
1696,4.0
1697,9.0
1698,5.0
1699,7.0
1700,5.0
1701,5.0
1702,9.0
1703,5.0
1704,3.0
1705,0.0
1706,1.0
1707,9.0
1708,7.0
1709,2.0
1710,4.0
1711,1.0
1712,0.0
1713,8.0
1714,0.0
1715,3.0
1716,1.0
1717,7.0
1718,0.0
1719,0.0
1720,4.0
1721,8.0
1722,6.0
1723,2.0
1724,4.0
1725,0.0
1726,0.0
1727,9.0
1728,0.0
1729,8.0
1730,4.0
1731,5.0
1732,9.0
1733,3.0
1734,9.0
1735,0.0
1736,5.0
1737,6.0
1738,5.0
1739,0.0
1740,1.0
1741,4.0
1742,8.0
1743,1.0
1744,0.0
1745,5.0
1746,2.0
1747,1.0
1748,0.0
1749,2.0
1750,8.0
1751,1.0
1752,5.0
1753,6.0
1754,7.0
1755,7.0
1756,2.0
1757,6.0
1758,2.0
1759,5.0
1760,0.0
1761,1.0
1762,4.0
1763,2.0
1764,5.0
1765,4.0
1766,6.0
1767,2.0
1768,2.0
1769,1.0
1770,7.0
1771,2.0
1772,8.0
1773,5.0
1774,5.0
1775,3.0
1776,0.0
1777,4.0
1778,8.0
1779,3.0
1780,7.0
1781,6.0
1782,3.0
1783,8.0
1784,1.0
1785,0.0
1786,1.0
1787,3.0
1788,3.0
1789,0.0
1790,7.0
1791,4.0
1792,9.0
1793,5.0
1794,3.0
1795,6.0
1796,0.0
1797,1.0
1798,4.0
1799,4.0
1800,4.0
1801,4.0
1802,2.0
1803,2.0
1804,5.0
1805,8.0
1806,1.0
1807,5.0
1808,9.0
1809,8.0
1810,1.0
1811,1.0
1812,5.0
1813,3.0
1814,9.0
1815,9.0
1816,7.0
1817,6.0
1818,5.0
1819,0.0
1820,8.0
1821,4.0
1822,7.0
1823,0.0
1824,9.0
1825,2.0
1826,8.0
1827,4.0
1828,7.0
1829,1.0
1830,3.0
1831,9.0
1832,6.0
1833,8.0
1834,9.0
1835,0.0
1836,4.0
1837,9.0
1838,6.0
1839,7.0
1840,8.0
1841,9.0
1842,4.0
1843,8.0
1844,9.0
1845,7.0
1846,2.0
1847,5.0
1848,3.0
1849,7.0
1850,1.0
1851,0.0
1852,2.0
1853,9.0
1854,5.0
1855,5.0
1856,8.0
1857,5.0
1858,4.0
1859,2.0
1860,8.0
1861,3.0
1862,5.0
1863,5.0
1864,7.0
1865,7.0
1866,8.0
1867,6.0
1868,2.0
1869,8.0
1870,2.0
1871,3.0
1872,5.0
1873,6.0
1874,8.0
1875,0.0
1876,2.0
1877,3.0
1878,7.0
1879,0.0
1880,1.0
1881,9.0
1882,1.0
1883,3.0
1884,7.0
1885,5.0
1886,8.0
1887,3.0
1888,2.0
1889,9.0
1890,6.0
1891,8.0
1892,6.0
1893,9.0
1894,3.0
1895,8.0
1896,9.0
1897,8.0
1898,0.0
1899,7.0
1900,8.0
1901,5.0
1902,0.0
1903,0.0
1904,1.0
1905,3.0
1906,9.0
1907,1.0
1908,5.0
1909,3.0
1910,4.0
1911,4.0
1912,0.0
1913,9.0
1914,9.0
1915,9.0
1916,9.0
1917,8.0
1918,2.0
1919,4.0
1920,2.0
1921,2.0
1922,5.0
1923,1.0
1924,9.0
1925,1.0
1926,0.0
1927,9.0
1928,4.0
1929,2.0
1930,1.0
1931,6.0
1932,0.0
1933,3.0
1934,7.0
1935,6.0
1936,3.0
1937,1.0
1938,8.0
1939,6.0
1940,5.0
1941,7.0
1942,2.0
1943,8.0
1944,4.0
1945,4.0
1946,8.0
1947,3.0
1948,5.0
1949,0.0
1950,5.0
1951,7.0
1952,4.0
1953,4.0
1954,2.0
1955,2.0
1956,7.0
1957,3.0
1958,6.0
1959,0.0
1960,2.0
1961,7.0
1962,6.0
1963,2.0
1964,3.0
1965,0.0
1966,7.0
1967,7.0
1968,8.0
1969,1.0
1970,1.0
1971,4.0
1972,6.0
1973,0.0
1974,6.0
1975,6.0
1976,5.0
1977,5.0
1978,6.0
1979,3.0
1980,9.0
1981,3.0
1982,6.0
1983,8.0
1984,7.0
1985,6.0
1986,4.0
1987,9.0
1988,5.0
1989,6.0
1990,4.0
1991,1.0
1992,6.0
1993,3.0
1994,8.0
1995,2.0
1996,3.0
1997,9.0
1998,8.0
1999,5.0
2000,1.0
2001,5.0
2002,4.0
2003,5.0
2004,7.0
2005,5.0
2006,7.0
2007,8.0
2008,9.0
2009,1.0
2010,7.0
2011,2.0
2012,5.0
2013,6.0
2014,8.0
2015,4.0
2016,6.0
2017,5.0
2018,3.0
2019,9.0
2020,9.0
2021,8.0
2022,5.0
2023,5.0
2024,6.0
2025,4.0
2026,5.0
2027,9.0
2028,7.0
2029,3.0
2030,4.0
2031,1.0
2032,4.0
2033,2.0
2034,3.0
2035,6.0
2036,5.0
2037,5.0
2038,2.0
2039,8.0
2040,0.0
2041,0.0
2042,1.0
2043,8.0
2044,3.0
2045,1.0
2046,3.0
2047,5.0
2048,8.0
2049,3.0
2050,8.0
2051,5.0
2052,8.0
2053,6.0
2054,3.0
2055,5.0
2056,5.0
2057,5.0
2058,0.0
2059,9.0
2060,5.0
2061,5.0
2062,7.0
2063,1.0
2064,8.0
2065,2.0
2066,2.0
2067,7.0
2068,3.0
2069,4.0
2070,2.0
2071,9.0
2072,6.0
2073,2.0
2074,2.0
2075,4.0
2076,3.0
2077,0.0
2078,2.0
2079,0.0
2080,1.0
2081,3.0
2082,2.0
2083,2.0
2084,7.0
2085,0.0
2086,1.0
2087,0.0
2088,7.0
2089,7.0
2090,2.0
2091,0.0
2092,1.0
2093,6.0
2094,5.0
2095,0.0
2096,2.0
2097,2.0
2098,0.0
2099,1.0
2100,2.0
2101,6.0
2102,0.0
2103,1.0
2104,6.0
2105,6.0
2106,5.0
2107,3.0
2108,4.0
2109,0.0
2110,0.0
2111,9.0
2112,1.0
2113,0.0
2114,2.0
2115,5.0
2116,9.0
2117,7.0
2118,8.0
2119,6.0
2120,4.0
2121,6.0
2122,0.0
2123,2.0
2124,0.0
2125,1.0
2126,9.0
2127,2.0
2128,4.0
2129,9.0
2130,0.0
2131,7.0
2132,2.0
2133,3.0
2134,4.0
2135,8.0
2136,0.0
2137,2.0
2138,6.0
2139,8.0
2140,9.0
2141,7.0
